time,note,velocity
0,57,83
0.21428549999999996,60,80
0.21428549999999996,64,90
0,57,99
0.21428549999999996,60,91
0.21428549999999996,64,78
0,57,95
0,74,79
0.21428549999999996,60,88
0,64,93
0,57,86
0,77,78
0.21428549999999996,60,88
0,76,87
0,52,92
0.21428549999999996,60,79
0.21428549999999996,64,85
0,52,80
0.21428549999999996,60,98
0.21428549999999996,64,96
0,76,79
0,52,92
0.21428549999999996,60,82
0.21428549999999996,64,79
0,52,85
0,77,78
0.21428549999999996,60,94
0,76,79
0,53,97
0,74,78
0.21428549999999996,60,82
0,64,91
0,53,90
0.21428549999999996,60,90
0.21428549999999996,64,92
0,53,93
0,79,79
0.21428549999999996,60,96
0,64,79
0,53,97
0,74,79
0.21428549999999996,60,96
0,76,97
0,50,86
0,72,78
0.21428549999999996,60,79
0,64,100
0,50,83
0.21428549999999996,60,89
0.21428549999999996,64,89
0,72,78
0,50,94
0.21428549999999996,60,90
0.21428549999999996,64,78
0,71,78
0,50,85
0,74,78
0.21428549999999996,60,100
0,72,78
