time,note,velocity
0,48,94
0.005208333333333333,60,96
0.005208333333333333,63,97
0.005208333333333333,67,99
0.005208333333333333,70,100
0.9791666666666666,75,100
0,67,99
0.005208333333333333,72,100
0,43,94
0.005208333333333333,55,96
0.005208333333333333,58,97
0.005208333333333333,62,99
0.005208333333333333,65,100
0.9791666666666666,79,100
0,77,100
0,44,93
0.005208333333333333,56,94
0.005208333333333333,60,96
0.005208333333333333,63,97
0.005208333333333333,67,99
0.005208333333333333,75,100
1.0,65,100
0,41,94
0.005208333333333333,53,96
0.005208333333333333,56,97
0.005208333333333333,60,99
0.005208333333333333,63,100
0,63,100
0,62,97
0.026041666666666664,63,100
0,60,100
