time,note,velocity
0,52,96
0,47,96
0,55,98
0,62,100
1.153846,69,98
0.576923,59,95
0.14423075,60,99
0,47,97
0,51,98
0,42,97
0,57,97
0,71,97
0,47,98
0,51,95
0,42,97
0,57,96
0,72,99
0.2884615,59,99
0,72,98
0,74,96
0.2884615,60,95
0,59,97
0,43,99
0,52,95
0,48,99
1.153846,76,96
0.576923,59,98
0.14423075,57,98
0,45,98
0,48,98
0,40,98
0,55,99
0,74,95
0.43269225,72,99
0,57,99
0,42,99
0,51,97
0,47,95
0,71,100
0.2884615,59,96
0,72,97
0,71,97
0.2884615,60,99
0,52,98
0,47,95
0,55,97
0,62,100
1.153846,69,95
0.576923,59,98
0.14423075,60,95
0,47,97
0,51,95
0,42,98
0,57,97
0,71,96
0,47,95
0,51,95
0,42,97
0,57,99
0,72,97
0.2884615,59,99
0,72,97
0,71,97
0.2884615,60,99
0,59,97
0,43,99
0,52,98
0,48,97
1.153846,67,98
0.576923,59,98
0.14423075,57,96
0,45,96
0,48,96
0,40,98
0,55,95
0,74,98
0.43269225,72,96
0,57,99
0,42,100
0,51,95
0,47,99
0,71,98
0.2884615,59,99
0,72,98
0,71,100
0.2884615,60,96
