time,note,velocity
0,45,87
0.0078125,52,81
0.00390625,64,84
0,60,99
0,45,92
0.0078125,52,79
0.00390625,64,92
0,60,88
0,60,93
0,59,87
0,41,90
0.0078125,48,87
0.00390625,57,88
0,45,79
0.0078125,52,85
0.00390625,64,81
0,60,98
0,45,80
0.0078125,52,92
0.00390625,64,96
0,60,81
0,60,86
0,59,94
0,41,80
0.0078125,48,80
0.00390625,57,97
0,45,88
0.0078125,52,88
0.00390625,64,90
0.0078125,76,90
0,72,93
0,45,92
0.0078125,52,95
0.00390625,64,95
0.0078125,76,80
0,72,98
0,72,87
0,71,80
0,41,87
0.0078125,48,87
0,60,99
0.00390625,69,84
0,45,76
0.0078125,52,88
0.00390625,64,89
0.0078125,76,95
0,72,86
0,45,76
0.0078125,52,90
0.00390625,64,99
0.0078125,76,81
0,72,89
0,72,80
0,71,91
0,41,78
0.0078125,48,80
0,60,87
0.00390625,69,85
