time,note,velocity
0,57,94
0,42,94
0,50,94
0,69,94
0,42,94
0,50,94
0,62,94
0,61,94
0,52,94
0,44,94
0.794702,74,94
0,61,94
0,52,94
0,44,94
0.1986755,76,94
0,44,94
0,49,94
0,56,94
0,50,94
0,42,94
0,57,94
0,50,94
0,42,94
0,69,94
0,62,94
0,61,94
0,52,94
0,44,94
0.794702,74,94
0,44,94
0,52,94
0,61,94
0.1986755,76,94
0,44,94
0,49,94
0,56,94
0,57,94
0,42,94
0,50,94
0,69,94
0,42,94
0,50,94
0,62,94
0,61,94
0,52,94
0,44,94
0,61,94
0,52,94
0,44,94
0,44,94
0,49,94
0,56,94
0,50,94
0,42,94
0,57,94
0,50,94
0,42,94
0,69,94
0,62,94
0,61,94
0,52,94
0,44,94
0,44,94
0,52,94
0,61,94
0,44,94
0,49,94
0,56,94
