time,note,velocity
0,53,93
0.0078125,58,95
0.0078125,62,96
0.00390625,67,98
0.0078125,81,99
0,52,96
0.0078125,57,98
0.0078125,60,99
0,50,95
0.0078125,55,96
0.0078125,58,98
0.00390625,79,99
0,48,93
0.0078125,53,95
0.0078125,57,96
0.00390625,65,98
0.0078125,74,99
0,53,93
0.0078125,58,95
0.0078125,62,96
0.00390625,67,98
0.0078125,69,99
0,52,96
0.0078125,57,98
0.0078125,60,99
0,50,95
0.0078125,55,96
0.0078125,58,98
0.00390625,67,99
0,48,93
0.0078125,53,95
0.0078125,57,96
0.00390625,74,98
0.0078125,65,99
