time,note,velocity
0,50,99
0.0037650624999999997,77,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0.7191269374999999,60,100
0,69,100
0,46,99
0.0037650624999999997,81,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0,60,100
0,69,100
0,50,99
0.0037650624999999997,79,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0,60,100
0,69,100
0,46,99
0.0037650624999999997,77,100
0.35768093749999996,65,100
0.180723,76,100
0,74,100
0,57,99
0.0037650624999999997,72,100
0,60,99
0.0037650624999999997,70,99
0,72,100
0,69,100
