time,note,velocity
0,83,82
0,73,80
0,69,88
0,66,96
0,62,89
0,59,78
0,47,93
0,69,86
0,66,91
0,62,85
0,59,86
0,47,86
0,81,90
0,66,79
0,62,84
0,59,80
0,47,95
0,76,93
0,67,90
0,62,81
0,59,79
0,55,84
0,43,91
0,78,79
0,66,95
0,59,81
0,62,89
0,55,88
0,43,89
0,81,90
0,71,91
0,67,94
0,64,79
0,61,95
0,57,93
0,45,95
0,67,85
0,64,79
0,61,97
0,57,82
0,45,87
0,79,87
0,64,92
0,61,88
0,57,78
0,45,84
0,86,97
0,66,79
0,61,91
0,57,78
0,54,87
0,42,78
0,85,88
0,64,86
0,54,83
0,57,79
0,61,79
0,42,86
0,83,93
0,73,87
0,69,94
0,66,86
0,62,84
0,59,92
0,47,87
0,69,92
0,66,91
0,62,84
0,59,88
0,47,89
0,81,81
0,66,82
0,62,81
0,59,90
0,47,79
0,76,91
0,67,83
0,62,92
0,59,97
0,55,79
0,43,95
0,78,90
0,66,94
0,59,91
0,62,97
0,55,82
0,43,92
0,81,85
0,71,92
0,67,84
0,64,87
0,61,92
0,57,81
0,45,94
0,67,78
0,64,92
0,61,84
0,57,94
0,45,91
0,79,93
0,64,82
0,61,79
0,57,96
0,45,82
0,74,87
0,66,95
0,61,79
0,57,84
0,54,93
0,42,94
0,73,90
0,64,85
0,54,93
0,57,82
0,61,93
0,42,85
