time,note,velocity
0,49,89
0,61,87
0,64,94
0,69,99
0,60,94
0,61,86
0,64,97
0,57,92
0,60,95
0,44,91
0,61,92
0,64,92
0,69,95
0,60,87
0,61,91
0,64,88
0,57,99
0,60,97
0,42,95
0,61,88
0,64,87
0,69,90
0,60,96
0,61,87
0,64,98
0,57,88
0,60,94
0,45,93
0,61,94
0,64,95
0,69,95
0,60,98
0,48,87
0,61,98
0,64,97
0,57,98
0,60,91
0,49,87
0,61,100
0,64,89
0,69,93
0,68,93
0,60,96
0,61,94
0,64,86
0,69,91
0,57,100
0,60,87
0,44,95
0,61,86
0,64,93
0,69,86
0,68,94
0,60,92
0,61,89
0,64,87
0,66,87
0,57,92
0,60,97
0,42,93
0,61,98
0,64,92
0,69,91
0,68,97
0,60,93
0,61,96
0,64,96
0,69,90
0,57,94
0,60,94
0,45,88
0,61,89
0,64,88
0,69,95
0,68,86
0,60,96
0,48,90
0,61,96
0,64,100
0,66,86
0,57,98
0,64,100
0,60,95
