time,note,velocity
0,56,89
0,59,87
0,71,94
0,49,99
0,68,94
0,64,86
0,59,97
0,56,92
0,68,95
0,49,91
0,76,92
0,59,92
0,56,95
0,78,87
0,49,91
0,76,88
0,66,99
0,56,97
0,75,95
0,71,88
0,56,87
0,63,90
0,71,96
0,83,87
0,59,98
0,56,88
0,71,94
0,44,93
0,68,94
0,64,95
0,59,95
0,56,98
0,68,87
0,44,98
0,76,97
0,59,98
0,56,91
0,78,87
0,44,100
0,76,89
0,56,93
0,66,93
0,47,96
0,75,94
0,71,86
0,56,91
0,47,100
0,63,87
0,71,95
0,80,86
0,56,89
0,59,87
0,71,94
0,49,99
0,68,94
0,64,86
0,59,97
0,56,92
0,68,95
0,49,91
0,64,92
0,59,92
0,56,95
0,66,87
0,49,91
0,64,88
0,66,99
0,56,97
0,75,95
0,71,88
0,56,87
0,63,90
0,71,96
0.25,59,98
0,56,88
0,71,94
0,44,93
0,68,94
0,64,95
0,59,95
0,56,98
0,68,87
0,44,98
0,64,97
0,59,98
0,56,91
0,66,87
0,44,100
0,64,89
0,56,93
0,66,93
0,47,96
0,75,94
0,71,86
0,56,91
0,47,100
0,63,87
0,71,95
