time,note,velocity
0,39,88
0.0072674375000000005,51,90
0.0072674375000000005,63,96
0,61,84
0.0072674375000000005,66,91
0,58,100
0,59,91
0,70,94
0,71,94
0,35,87
0.0072674375000000005,47,90
0.0072674375000000005,58,94
0,66,91
0,58,89
0,59,93
0,70,100
0,71,90
0,37,88
0.0072674375000000005,49,91
0.0072674375000000005,59,86
0,65,91
0,58,94
0,59,89
0,73,95
0,71,94
0,35,84
0.0072674375000000005,47,87
0.0072674375000000005,63,91
0,61,87
0,58,87
0.0072674375000000005,58,94
0,59,98
0.697674,70,98
0,71,94
0,75,98
0,39,88
0.0072674375000000005,51,90
0.0072674375000000005,54,86
0,61,86
0.0072674375000000005,63,99
0,58,100
0,59,91
0,58,94
0,59,94
0,35,87
0.0072674375000000005,47,90
0.0072674375000000005,58,97
0,54,88
0,58,89
0,59,93
0,58,100
0,59,90
0,37,88
0.0072674375000000005,49,91
0.0072674375000000005,59,89
0,53,88
0,58,94
0,59,89
0,61,95
0,59,94
0,35,84
0.0072674375000000005,47,87
0.0072674375000000005,51,88
0,61,90
0,58,87
0.0072674375000000005,58,94
0,59,98
0.697674,58,98
0,59,94
0,63,98
