time,note,velocity
0,45,100
0.00390625,57,98
0.00390625,60,97
0.00390625,64,95
0.00390625,67,93
0.00390625,71,92
0.35546875,79,100
0.5625,76,100
0,74,100
0,40,100
0.00390625,52,98
0.00390625,55,97
0.00390625,59,95
0.00390625,62,93
0.00390625,66,92
0.00390625,76,90
0,67,100
0,41,100
0.00390625,53,98
0.00390625,57,97
0.00390625,60,95
0.00390625,64,93
0.00390625,67,92
0.35546875,79,100
0.5625,76,100
0,74,100
0,38,100
0.00390625,50,98
0.00390625,53,97
0.00390625,57,95
0.00390625,60,93
0.00390625,64,92
0.00390625,71,90
0,69,100
0.375,67,100
0,45,100
0.00390625,57,98
0.00390625,60,97
0.00390625,64,95
0.00390625,67,93
0.00390625,71,92
0.35546875,79,100
0,40,100
0.00390625,52,98
0.00390625,55,97
0.00390625,59,95
0.00390625,62,93
0.00390625,66,92
0.00390625,76,90
0,67,100
0,41,100
0.00390625,53,98
0.00390625,57,97
0.00390625,60,95
0.00390625,64,93
0.00390625,67,92
0.35546875,79,100
0,38,100
0.00390625,50,98
0.00390625,53,97
0.00390625,57,95
0.00390625,60,93
0.00390625,64,92
0.00390625,71,90
0,69,100
