time,note,velocity
0,43,100
0,65,100
0.25,50,100
0,55,100
0,58,100
0.75,62,100
0,55,100
0,46,100
0,42,100
0,63,100
0.25,48,100
0,54,100
0,57,100
0.75,60,100
0,45,100
0,54,100
0,38,100
0,60,100
0.25,45,100
0,54,100
0,50,100
0,57,100
0,50,100
0,54,100
0,60,100
0,38,100
0.25,45,100
0,50,100
0,54,100
0,57,100
0,50,100
0,54,100
0,43,100
0,65,100
0,55,100
0,58,100
0.75,62,100
0,55,100
0,46,100
0,42,100
0,63,100
0,54,100
0,57,100
0.75,60,100
0,45,100
0,54,100
0,38,100
0,60,100
0,54,100
0,50,100
0,57,100
0,50,100
0,54,100
0,60,100
0,38,100
0,50,100
0,54,100
0,57,100
0,50,100
0,54,100
