time,note,velocity
0,37,94
0.0063131354166666665,53,97
0,49,95
0.0063131354166666665,56,92
0,60,87
0.8964652291666666,65,101
0.15151525,77,70
0.15151525,66,101
0.0063131354166666665,77,66
0.15151525,77,82
0,41,95
0.0063131354166666665,56,95
0,53,91
0.0063131354166666665,63,91
0,60,91
0.0063131354166666665,82,99
0,80,84
0,34,96
0.0063131354166666665,49,90
0,58,93
0.0063131354166666665,56,89
0,53,92
0.0063131354166666665,63,93
0.0063131354166666665,78,62
0,58,96
0.0063131354166666665,61,99
0,77,92
0,37,94
0.0063131354166666665,53,94
0,49,92
0.0063131354166666665,56,94
0,60,92
0.8964652291666666,65,101
0.45454574999999997,66,101
0,41,99
0.0063131354166666665,56,92
0,53,91
0.0063131354166666665,63,86
0,60,93
0,34,94
0.0063131354166666665,49,94
0,58,95
0.0063131354166666665,53,92
0,56,90
