time,note,velocity
0,36,108
0,55,108
0,60,108
0,63,108
0.2777775,72,108
0,79,108
0,75,108
0,74,108
0,72,108
0,74,108
0,72,108
0,75,108
0,63,108
0,60,108
0,55,108
0,36,108
0.6481475,74,108
0,72,108
0,36,108
0,55,108
0,60,108
0,63,108
0.2777775,72,108
0,79,108
0,75,108
0,74,108
0,72,108
0,74,108
0,72,108
0,75,108
0,60,108
0,63,108
0,55,108
0,36,108
0.6481475,74,108
0,72,108
0,43,108
0,55,108
0,58,108
0,50,108
0.2777775,67,108
0,74,108
0,70,108
0,69,108
0,67,108
0,69,108
0,67,108
0,70,108
0,43,108
0,55,108
0,58,108
0,50,108
0.6481475,69,108
0,67,108
0,43,108
0,55,108
0,58,108
0,50,108
0.2777775,67,108
0,74,108
0,70,108
0,69,108
0,67,108
0,69,108
0,67,108
0,70,108
0,43,108
0,55,108
0,58,108
0,50,108
0.6481475,69,108
0,67,108
