time,note,velocity
0,54,89
0,73,88
0.75,61,86
0.0390625,64,94
0.7109375,59,98
0.02734375,61,94
0.7109375,69,86
0.375,57,97
0,71,88
0,50,92
0.73828125,61,94
0.0390625,64,91
0.7109375,59,91
0.02734375,61,92
0.7109375,69,95
0.375,57,87
0,47,91
0,68,88
0.73828125,61,87
0.0390625,64,99
0.7109375,59,96
0.02734375,61,95
0.7109375,66,88
0.375,57,87
0,69,88
0,50,90
0.71875,61,95
0.0390625,64,87
0,59,97
0.0390625,61,88
0.7109375,71,94
0.375,69,93
0,54,89
0.75,61,86
0.0390625,64,94
0.7109375,59,98
0.02734375,61,94
1.0859375,57,97
0,50,92
0.73828125,61,94
0.0390625,64,91
0.7109375,59,91
0.02734375,61,92
1.0859375,57,87
0,47,91
0.73828125,61,87
0.0390625,64,99
0.7109375,59,96
0.02734375,61,95
1.0859375,57,87
0,50,90
0.71875,61,95
0.0390625,64,87
0,74,88
0,59,97
0.0390625,61,88
0.3359375,73,88
0.375,71,88
0.375,69,88
