time,note,velocity
0,45,85
0,60,97
0,52,86
0.005952385416666667,71,81
0,67,78
0,71,81
0,48,82
0,57,85
0,41,82
0.005952385416666667,67,95
0,64,91
0,45,79
0,53,76
0,38,92
0.005952385416666667,71,86
0,64,90
0,60,76
0.2857145,71,95
0.2857145,74,92
0,59,79
0,52,75
0,48,88
0,45,78
0.005952385416666667,71,78
0,55,95
0,59,79
0.8511911145833333,71,90
0,41,87
0,48,88
0,45,86
0.005952385416666667,52,90
0,55,96
0,38,91
0,41,90
0,45,94
0.005952385416666667,52,76
0,48,83
0,71,77
0.2857145,69,100
0.2857145,59,81
0,67,88
0,52,86
0,60,97
0,45,85
0.005952385416666667,71,81
0,67,78
0.8511911145833333,71,77
0,48,82
0,57,85
0,41,82
0.005952385416666667,67,95
0,64,91
0,45,79
0,53,76
0,38,92
0.005952385416666667,71,86
0,64,90
0,60,76
0.2857145,71,95
0.2857145,74,92
0,59,79
0,52,75
0,48,88
0,45,78
0.005952385416666667,71,78
0,55,95
0,59,79
0.8511911145833333,71,90
0,41,87
0,48,88
0,45,86
0.005952385416666667,52,90
0,55,96
0,45,94
0,41,90
0,38,91
0.005952385416666667,71,77
0,48,83
0,52,76
0.2857145,69,100
0.2857145,59,81
0,67,88
