time,note,velocity
0,47,98
0,62,98
0,54,98
0,69,98
0,54,98
0,62,98
0,47,98
0.37037,69,98
0,47,98
0,54,98
0,74,98
0,47,98
0,66,98
0,62,98
0,73,98
0,47,98
0,62,98
0,47,98
0,71,98
0,64,98
0,49,98
0,58,98
0,42,98
0,42,98
0,58,98
0,49,98
0.37037,64,98
0,70,98
0,42,98
0,42,98
0,58,98
0,61,98
0,71,98
0,42,98
0,42,98
0,58,98
0,43,98
0,59,98
0,50,98
0,66,98
0,43,98
0,59,98
0,50,98
0.37037,66,98
0,71,98
0,43,98
0,62,98
0,59,98
0,43,98
0,69,98
0,43,98
0,43,98
0,59,98
0,67,98
0,62,98
0,55,98
0,40,98
0,47,98
0,40,98
0,55,98
0,47,98
0.37037,62,98
0,66,98
0,40,98
0,40,98
0,55,98
0,59,98
0,67,98
0,40,98
0,40,98
0,55,98
0,47,98
0,62,98
0,54,98
0,69,98
0,54,98
0,62,98
0,47,98
0.37037,69,98
0,47,98
0,54,98
0,74,98
0,47,98
0,66,98
0,62,98
0,73,98
0,47,98
0,62,98
0,47,98
0,71,98
0,64,98
0,49,98
0,58,98
0,42,98
0,42,98
0,58,98
0,49,98
0.37037,64,98
0,70,98
0,42,98
0,42,98
0,58,98
0,61,98
0,71,98
0,42,98
0,42,98
0,58,98
0,43,98
0,59,98
0,50,98
0,66,98
0,43,98
0,59,98
0,50,98
0.37037,66,98
0,71,98
0,43,98
0,62,98
0,59,98
0,43,98
0,69,98
0,43,98
0,43,98
0,59,98
0,67,98
0,62,98
0,55,98
0,40,98
0,47,98
0,40,98
0,55,98
0,47,98
0.37037,62,98
0,66,98
0,40,98
0,40,98
0,55,98
0,59,98
0,67,98
0,40,98
0,40,98
0,55,98
