time,note,velocity
0,42,88
0.004528989583333333,54,95
0.004528989583333333,57,84
0.004528989583333333,61,93
0.004528989583333333,73,89
0.21739149999999996,69,86
0.4347829999999999,68,97
0,66,92
0,37,89
0.004528989583333333,49,88
0.004528989583333333,53,89
0.004528989583333333,56,90
0.004528989583333333,71,95
0,41,91
0.004528989583333333,53,95
0.004528989583333333,56,88
0.004528989583333333,59,87
0.004528989583333333,68,87
0.21739149999999996,65,95
0,42,81
0.004528989583333333,54,86
0.004528989583333333,57,84
0.004528989583333333,61,95
0.004528989583333333,73,88
0.21739149999999996,69,98
0.4347829999999999,68,88
0,66,94
0,37,92
0.004528989583333333,49,91
0.004528989583333333,53,92
0.004528989583333333,56,93
0.004528989583333333,71,93
0,41,92
0.004528989583333333,53,93
0.004528989583333333,56,88
0.004528989583333333,59,97
0.004528989583333333,68,87
0.21739149999999996,65,87
0,42,89
0.004528989583333333,54,90
0.004528989583333333,57,99
0.004528989583333333,61,89
0,37,87
0.004528989583333333,49,83
0.004528989583333333,53,93
0.004528989583333333,56,96
0,41,82
0.004528989583333333,53,92
0.004528989583333333,56,99
0.004528989583333333,59,87
0,42,89
0.004528989583333333,54,83
0.004528989583333333,57,91
0.004528989583333333,61,94
0,37,88
0.004528989583333333,49,84
0.004528989583333333,53,86
0.004528989583333333,56,89
0,41,93
0.004528989583333333,53,90
0.004528989583333333,56,91
0.004528989583333333,59,98
