time,note,velocity
0,52,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,52,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,52,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,50,94
0.009615375,62,96
0.0144230625,66,97
0.009615375,69,99
0.0144230625,73,100
0,47,94
0.009615375,59,96
0.0144230625,62,97
0.009615375,66,99
0.0144230625,69,100
0,43,94
0.009615375,55,96
0.0144230625,59,97
0.009615375,62,99
0.0144230625,66,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,50,94
0.009615375,62,96
0.0144230625,66,97
0.009615375,69,99
0.0144230625,73,100
0,47,94
0.009615375,59,96
0.0144230625,62,97
0.009615375,66,99
0.0144230625,69,100
0,43,94
0.009615375,55,96
0.0144230625,59,97
0.009615375,62,99
0.0144230625,66,100
0.41346112500000004,78,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,50,94
0.009615375,62,96
0.0144230625,66,97
0.009615375,69,99
0.0144230625,73,100
0,47,94
0.009615375,59,96
0.0144230625,62,97
0.009615375,66,99
0.0144230625,69,100
0,43,94
0.009615375,55,96
0.0144230625,59,97
0.009615375,62,99
0.0144230625,66,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,40,94
0.009615375,64,96
0.0144230625,67,97
0.009615375,71,99
0.0144230625,74,100
0,50,94
0.009615375,62,96
0.0144230625,66,97
0.009615375,69,99
0.0144230625,73,100
0,47,94
0.009615375,59,96
0.0144230625,62,97
0.009615375,66,99
0.0144230625,69,100
0,43,93
0.009615375,55,94
0.0144230625,59,96
0.009615375,62,97
0.0144230625,66,99
0.009615375,76,100
0,74,100
