time,note,velocity
0,42,88
0,66,88
0,57,88
0,61,88
0,45,88
0,66,88
0,47,88
0.2040815,68,88
0.2040815,69,88
0.2040815,71,88
0,73,88
0,54,88
0,62,88
0,45,88
0,64,88
0,54,88
0,62,88
0,73,88
0,59,88
0,56,88
0,37,88
0,47,88
0,54,88
0,62,88
0.408163,45,88
0,54,88
0,74,88
0,73,88
0,42,88
0,61,88
0,57,88
0,66,88
0,57,88
0,47,88
0,66,88
0.2040815,68,88
0.2040815,69,88
0.2040815,71,88
0,62,88
0,54,88
0,73,88
0,74,88
0,45,88
0,64,88
0,76,88
0,54,88
0,62,88
0,74,88
0,73,88
0,37,88
0,59,88
0,56,88
0,47,88
0,62,88
0,54,88
0.408163,45,88
0,74,88
0,54,88
0,73,88
