time,note,velocity
0,38,90
0,57,89
0,50,94
0,62,100
0.01704546875,66,95
0.022727291666666666,69,88
0.01704546875,73,97
0.48863677083333334,71,93
0.2727275,69,96
0,81,92
0.01704546875,71,93
0,69,93
0.01704546875,73,95
0.2727275,76,88
0,74,92
0,73,89
0,71,99
0.028409114583333332,73,98
0,69,96
0,33,90
0,52,88
0,45,91
0,57,96
0.01704546875,61,88
0.022727291666666666,64,98
0.01704546875,68,90
0.48863677083333334,66,95
0.2727275,64,94
0,76,95
0.01704546875,66,95
0.2727275,73,96
0,64,98
0.01704546875,68,88
0.2727275,71,98
0,69,98
0,76,99
0,68,92
0,73,88
0,66,100
0.028409114583333332,68,90
0,64,94
0,45,94
0,38,97
0,50,94
0.01704546875,54,88
0.022727291666666666,57,92
0.01704546875,61,100
0.48863677083333334,59,88
0.2727275,57,96
0,69,88
0.01704546875,59,93
0,57,88
0.01704546875,61,94
0.2727275,64,93
0,62,91
0,61,88
0,59,88
0.028409114583333332,61,93
0,57,97
0,40,93
0,33,98
0,45,93
0.01704546875,49,92
0.022727291666666666,52,97
0.01704546875,56,93
0.48863677083333334,54,97
0.2727275,52,96
0,64,91
0.01704546875,54,94
0.2727275,61,95
0,52,89
0.01704546875,56,90
0.2727275,59,90
0,57,95
0,64,88
0,56,96
0,61,91
0,54,96
0.028409114583333332,56,100
0,52,88
