time,note,velocity
0,48,100
0.00390625,55,98
0.00390625,63,97
0.7421875,70,100
0,48,100
0.00390625,55,98
0.00390625,63,97
0.7421875,68,100
0,65,100
0,51,100
0.00390625,65,98
0,67,98
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,63,100
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,65,100
0,60,100
0,62,98
0,46,100
0,48,100
0.00390625,55,98
0.00390625,63,97
0.7421875,70,100
0,48,100
0.00390625,55,98
0.00390625,63,97
0.7421875,68,100
0,65,100
0,51,100
0.00390625,65,98
0,67,98
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,63,100
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,65,100
0,60,100
0,62,98
0,46,100
0,48,100
0.00390625,55,98
0.00390625,63,97
2.2421875,65,100
0,51,100
0.00390625,65,98
0,67,98
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,63,100
1.125,60,100
0,62,98
0,46,100
0,48,100
0.00390625,55,98
0.00390625,63,97
2.2421875,65,100
0,51,100
0.00390625,65,98
0,67,98
0,41,100
0.00390625,48,98
0.00390625,56,97
0.7421875,63,100
1.125,60,100
0,62,98
0,46,100
