time,note,velocity
0,58,70
0.00390625,65,85
0.00390625,69,76
0.28125,62,99
0.65625,67,88
0.28125,60,92
0.00390625,67,70
0.09375,70,83
0.09375,63,90
0.28125,72,80
0.28125,70,83
0.28125,63,79
0.00390625,70,71
0.00390625,74,89
0.28125,67,80
0.65625,72,73
0.28125,63,86
0.00390625,70,93
0.00390625,74,97
0.28125,67,75
0.28125,72,72
0.28125,70,79
0.265625,58,69
0.00390625,65,95
0.00390625,69,91
0.28125,62,75
0.65625,67,87
0.28125,60,86
0.00390625,67,86
0.09375,70,89
0.09375,63,90
0.28125,72,95
0.28125,70,71
0.28125,63,93
0.00390625,70,95
0.00390625,74,94
0.28125,67,81
0.65625,72,71
0.28125,63,82
0.00390625,70,75
0.00390625,74,100
0.28125,67,85
0.28125,72,92
0.28125,70,87
