time,note,velocity
0,68,76
0,59,58
0,44,58
0.1875,70,77
0,63,58
0.05859375,71,100
0.05859375,63,68
0.05859375,58,68
0.05859375,47,77
0,64,66
0.375,73,57
0.05859375,66,76
0,61,58
0,39,58
0,75,88
0.1875,68,77
0.05859375,70,100
0.05859375,55,68
0.05859375,39,77
0.375,71,57
0.05859375,73,88
0,40,77
0,56,68
0,70,84
0.1875,75,76
0.05859375,73,92
0.375,58,62
0.5625,59,62
0,71,68
0.05859375,40,77
0,56,68
0,73,88
0,70,84
0.1875,75,85
0.05859375,73,101
0.375,58,62
0.05859375,39,77
0,59,62
0,71,68
0.05859375,68,76
0,59,58
0,44,58
0.1875,70,77
0,63,58
0.05859375,71,100
0.05859375,63,68
0.05859375,58,68
0.05859375,47,77
0,64,66
0.375,73,57
0.05859375,66,76
0,61,58
0,39,58
0,75,88
0.1875,68,77
0.05859375,70,100
0.05859375,55,68
0.05859375,39,77
0.375,71,57
0.05859375,73,88
0,40,77
0,56,68
0,70,84
0.1875,75,76
0.05859375,73,92
0.375,58,62
0.5625,59,62
0,71,68
0.05859375,40,77
0,56,68
0,73,88
0,70,84
0.1875,75,85
0.05859375,73,101
0.375,58,62
0.05859375,39,77
0,59,62
0,71,68
