time,note,velocity
0,53,57
0,41,31
0,67,83
0.2112675,60,31
0.10563375,60,33
0.2112675,63,69
0,55,59
0,60,83
0,58,35
0,58,78
0,55,57
0,37,31
0,58,45
0,53,57
0,41,31
0,67,83
0.2112675,60,31
0.10563375,60,33
0.2112675,63,69
0,55,59
0,60,83
0,58,35
0,58,78
0,55,57
0,37,31
0,58,45
0,53,57
0,41,31
0,67,83
0.2112675,60,31
0.10563375,60,33
0.2112675,63,69
0,55,59
0,60,83
0,58,35
0,58,78
0,55,57
0,37,31
0,58,45
0,53,57
0,41,31
0,67,83
0.2112675,60,31
0.10563375,60,33
0.2112675,63,69
0,55,59
0,60,83
0,58,35
0,58,78
0,55,57
0,37,31
0,58,45
