time,note,velocity
0,36,66
0.1960785,60,40
0.1960785,65,58
0.1960785,55,52
0.06127453125,56,60
0,65,77
0.1960785,70,88
0.06127453125,55,58
0,65,46
0.06127453125,68,73
0.06127453125,55,41
0,65,52
0.06127453125,67,82
0.06127453125,56,68
0.06127453125,65,87
0.06127453125,36,66
0.1960785,60,40
0.1960785,65,58
0.1960785,55,52
0.06127453125,56,60
0,65,77
0.1960785,70,88
0.06127453125,55,58
0,65,46
0.06127453125,68,73
0.06127453125,55,41
0,65,52
0.06127453125,67,82
0.06127453125,56,68
0.06127453125,65,87
0.06127453125,36,66
0.1960785,60,40
0.1960785,65,58
0.1960785,55,52
0.06127453125,56,60
0,65,77
0.1960785,72,88
0.06127453125,55,58
0,65,46
0.06127453125,68,73
0.06127453125,55,41
0,65,52
0.06127453125,67,82
0.06127453125,56,68
0.06127453125,65,87
0.06127453125,36,66
0.1960785,60,40
0.1960785,65,58
0.1960785,55,52
0.06127453125,56,60
0,65,77
0.1960785,72,88
0.06127453125,55,58
0,65,46
0.06127453125,68,73
0.06127453125,55,41
0,65,52
0.06127453125,60,82
0.06127453125,56,68
0.06127453125,65,87
