time,note,velocity
0,40,52
0,68,34
0.212766,75,80
0,61,64
0,59,52
0,40,55
0,73,53
0,58,78
0,40,44
0,58,69
0,40,68
0,32,52
0.212766,71,71
0,59,91
0,27,36
0,39,55
0,68,98
0,32,52
0,44,44
0.212766,63,52
0,44,68
0,40,52
0,68,34
0.212766,75,80
0,61,64
0,59,52
0,40,55
0,78,96
0,58,78
0,40,44
0,58,69
0,40,68
0,32,52
0.212766,73,94
0,59,91
0,27,36
0,39,55
0,68,98
0,32,52
0,44,44
0.212766,63,52
0,44,68
0,40,52
0,68,34
0.212766,75,80
0,61,64
0,59,52
0,40,55
0,73,53
0,58,78
0,40,44
0,58,69
0,40,68
0,32,52
0.212766,71,71
0,59,91
0,27,36
0,39,55
0,68,98
0,32,52
0,44,44
0.212766,63,52
0,44,68
0,40,52
0,68,34
0.212766,75,80
0,61,64
0,59,52
0,40,55
0,80,96
0,58,78
0,40,44
0,58,69
0,40,68
0,32,52
0.212766,75,94
0,59,91
0,27,36
0,39,55
0,73,98
0,32,52
0,44,44
0.212766,63,52
0,44,68
