time,note,velocity
0,68,82
0.357143,63,44
0.357143,39,40
0,51,40
0,56,47
0,61,55
0.05580359375,52,40
0,40,40
0,59,47
0,64,55
0.05580359375,71,41
0,56,68
0.1785715,73,84
0.05580359375,68,54
0.029761916666666666,68,82
0.357143,63,44
0.357143,39,40
0,51,40
0,56,47
0,61,55
0.05580359375,52,40
0,40,40
0,59,47
0,64,55
0.05580359375,71,41
0,56,68
0.1785715,73,84
0.05580359375,68,54
0.11532742708333332,75,82
0.30505964583333334,63,44
0.357143,39,40
0,51,40
0,56,47
0,61,55
0.05580359375,52,40
0,40,40
0,59,47
0,64,55
0.05580359375,71,41
0,56,68
0.1785715,73,84
0.05580359375,70,54
0.07440479166666666,71,82
0.357143,63,44
0.312500125,39,40
0.044642875,51,40
0,56,47
0,61,55
0.01116071875,52,40
0,40,40
0,59,47
0,64,55
0.05580359375,70,62
0.10044646874999999,71,41
0,56,68
0.1785715,73,84
0.05580359375,68,54
