time,note,velocity
0,41,62
0,68,88
0.2040815,63,74
0.408163,53,31
0,63,50
0,58,78
0,63,95
0,48,22
0,60,73
0.408163,65,47
0,36,57
0,65,88
0.2040815,60,74
0.408163,48,31
0,61,50
0,37,73
0,56,78
0,60,95
0,48,22
0,58,73
0.408163,65,47
0,41,62
0,68,88
0.2040815,63,74
0.2040815,70,57
0.051020375,72,88
0.11904754166666667,53,31
0,75,73
0,63,50
0,70,90
0,58,78
0,72,86
0,63,95
0,72,80
0,48,22
0,73,83
0,60,73
0.13605433333333333,72,97
0.2040815,65,47
0,36,57
0,65,88
0.2040815,60,74
0.017006791666666667,68,85
0.2040815,48,31
0.017006791666666667,70,81
0,61,50
0,72,100
0,37,73
0,56,78
0.017006791666666667,70,81
0,60,95
0,70,74
0,48,22
0,58,73
0.017006791666666667,70,97
0.2040815,65,47
