time,note,velocity
0,40,48
0,71,73
0.1973685,67,60
0,57,41
0.016447375,69,69
0.016447375,57,41
0.016447375,64,52
0.016447375,57,21
0.016447375,62,75
0.016447375,60,21
0.016447375,60,48
0.016447375,40,48
0,71,73
0.1973685,67,60
0,57,41
0.016447375,69,69
0.016447375,57,41
0.016447375,64,52
0.016447375,57,21
0.016447375,62,75
0.016447375,60,21
0.016447375,60,48
0.016447375,33,48
0,71,73
0.1973685,67,60
0,57,41
0.016447375,69,69
0.016447375,57,41
0.016447375,64,52
0.016447375,57,21
0.016447375,62,75
0.016447375,60,21
0.016447375,60,48
0.016447375,33,48
0,71,73
0.1973685,67,60
0,57,41
0.016447375,69,69
0.016447375,57,41
0.016447375,64,52
0.016447375,57,21
0.016447375,62,75
0.016447375,60,21
0.016447375,64,48
