time,note,velocity
0,34,29
0,65,72
0.382166,53,74
0.382166,58,33
0.382166,61,14
0.382166,70,50
0.382166,77,62
0.382166,82,91
0.382166,78,70
0,77,70
0,34,29
0,65,72
0.382166,53,74
0.382166,58,33
0.382166,61,14
0.382166,70,50
0,77,62
0.382166,82,91
0.382166,78,70
0,34,29
0,65,72
0.382166,53,74
0.382166,58,33
0.382166,61,14
0.382166,70,50
0.382166,77,62
0.382166,82,91
0.382166,78,70
0,77,70
0,34,29
0,65,72
0.382166,53,74
0.382166,58,33
0.382166,61,14
0.382166,70,50
0,77,62
0.382166,82,91
0.382166,78,70
