time,note,velocity
0,50,12
0,61,50
0,57,39
0,54,12
0,38,12
0,66,60
1.0909079999999998,73,66
0.09469687499999999,76,91
0,40,12
0,52,12
0,49,12
0,56,39
0,64,50
0,68,60
1.0909079999999998,71,70
0,56,12
0,66,60
0,64,50
0,59,39
0.09469687499999999,76,99
0,69,60
0,50,12
0,61,50
0,57,39
0,54,12
0,38,12
0,66,60
0.09469687499999999,73,66
0.09469687499999999,76,91
0,40,12
0,52,12
0,49,12
0,56,39
0,64,50
0.09469687499999999,68,60
0.6325751249999999,76,66
0.09469687499999999,71,89
0,61,39
0,66,50
0,69,60
0,56,12
0.09469687499999999,73,81
