time,note,velocity
0,61,19
0,65,33
0,70,62
0,46,19
0,68,19
0.20689649999999998,75,85
0.8275859999999999,77,56
0.8275859999999999,80,66
0.8275859999999999,82,54
0,68,62
0,63,33
0,60,19
0,56,21
0,41,19
0.20689649999999998,75,85
0.8275859999999999,77,56
0.8275859999999999,80,66
0.8275859999999999,82,54
0,63,62
0,60,33
0,58,21
0,51,35
0.20689649999999998,70,85
0.8275859999999999,73,56
0.8275859999999999,75,66
0.8275859999999999,80,54
0,63,62
0,60,33
0,58,21
0,51,35
0.20689649999999998,68,85
0.8275859999999999,73,56
0.8275859999999999,75,66
0.8275859999999999,80,54
