time,note,velocity
0,47,19
0,67,89
0.37037,57,60
0,52,45
0.185185,71,78
0.185185,59,39
0,64,64
0,71,47
0.185185,62,45
0,71,89
0.185185,59,14
0,69,52
0,71,45
0,43,19
0,69,89
0.37037,57,60
0,52,45
0.185185,74,78
0.185185,59,39
0,64,64
0,71,47
0.185185,62,45
0,71,89
0.185185,59,14
0,69,52
0,67,45
0,36,19
0,67,89
0.37037,57,60
0,52,45
0.185185,69,78
0.185185,59,39
0,64,64
0,71,47
0.185185,62,45
0,74,78
0.185185,59,14
0,40,19
0,69,89
0.37037,57,60
0,52,45
0.185185,71,60
0.185185,59,39
0,64,64
0,71,64
0.185185,62,45
0,67,60
0.185185,59,14
