time,note,velocity
0,43,19
0,74,65
0.2040815,55,10
0,70,19
0,51,8
0,72,25
0,51,15
0,72,41
0,50,6
0,67,23
0,39,24
0,70,46
0,48,11
0,48,25
0,69,33
0,48,29
0,70,46
0,43,19
0,74,65
0.2040815,55,10
0,70,19
0,51,8
0,72,25
0,51,15
0,72,41
0,50,6
0,67,23
0,39,24
0,70,46
0,48,11
0,48,25
0,69,33
0,48,29
0,70,46
0,39,19
0,67,65
0.2040815,62,19
0,55,10
0,63,25
0,51,8
0,65,41
0,51,15
0,50,6
0,67,23
0,62,46
0,41,24
0,48,11
0,65,33
0,48,25
0,62,46
0,48,29
0,65,65
0,39,19
0.2040815,62,19
0,51,10
0,62,25
0,48,8
0,63,41
0,48,15
0,62,23
0,48,6
0,60,46
0,41,24
0,48,11
0,62,33
0,48,25
0,62,46
0,48,29
