time,note,velocity
0,34,25
0,62,72
0.20547949999999998,48,27
0.20547949999999998,52,45
0.6164384999999999,53,66
0.20547949999999998,60,39
0,36,25
0,64,72
0.20547949999999998,45,27
0.20547949999999998,53,45
0.6164384999999999,57,66
0.20547949999999998,60,39
0.20547949999999998,65,43
0,38,25
0,64,72
0.20547949999999998,50,27
0.20547949999999998,53,45
0.6164384999999999,55,66
0.20547949999999998,60,39
0,67,72
0,33,25
0.20547949999999998,45,27
0.20547949999999998,53,45
0.6164384999999999,57,66
0.20547949999999998,60,39
0.20547949999999998,69,43
0,34,25
0,62,72
0.20547949999999998,48,27
0.20547949999999998,52,45
0.6164384999999999,53,66
0.20547949999999998,60,39
0,36,25
0,64,72
0.20547949999999998,45,27
0.20547949999999998,53,45
0.6164384999999999,57,66
0.20547949999999998,60,39
0.20547949999999998,65,43
0,38,25
0,64,72
0.20547949999999998,50,27
0.20547949999999998,53,45
0.6164384999999999,55,66
0.20547949999999998,60,39
0,67,72
0,33,25
0.20547949999999998,45,27
0.20547949999999998,53,45
0.6164384999999999,57,66
0.20547949999999998,60,39
0.20547949999999998,69,43
