time,note,velocity
0,42,64
0.10714274999999998,42,47
0,61,37
0.10714274999999998,42,60
0,64,76
0.21428549999999996,66,60
0.21428549999999996,69,95
0.10714274999999998,49,41
0,37,43
0,68,64
0.10714274999999998,61,52
0,37,31
0.10714274999999998,66,87
0,37,66
0.21428549999999996,73,89
0.10714274999999998,71,39
0,47,39
0,38,12
0,64,64
0,56,31
0,59,39
0,61,62
0.10714274999999998,69,72
0,38,33
0.10714274999999998,71,91
0,38,52
0,42,64
0.10714274999999998,42,47
0,61,37
0.10714274999999998,42,60
0,64,76
0.21428549999999996,66,60
0.21428549999999996,69,95
0.10714274999999998,49,41
0,37,43
0,68,64
0.10714274999999998,61,52
0,37,31
0.10714274999999998,66,87
0,37,66
0.21428549999999996,73,89
0.10714274999999998,71,39
0,47,39
0,38,12
0,64,64
0,56,31
0,59,39
0,61,62
0.10714274999999998,69,72
0,38,33
0.10714274999999998,71,91
0,38,52
0,54,39
0,61,58
0,64,68
0,38,56
0.09374990624999999,66,78
1.62053409375,68,43
0.4285709999999999,69,64
0.09374990624999999,68,39
0.4285709999999999,66,64
0,54,39
0,61,58
0,64,68
0,38,56
0.09374990624999999,66,78
1.62053409375,68,43
0.4285709999999999,69,64
0.09374990624999999,71,39
0.4285709999999999,64,64
