time,note,velocity
0,45,31
0,73,70
0.222222,71,45
0.222222,66,31
0,47,31
0.222222,69,31
0,42,31
0,68,56
0.222222,61,58
0,69,37
0,68,76
0,37,31
0,66,78
0,64,72
0,57,47
0,37,31
0.444444,61,66
0,45,31
0,73,70
0.222222,71,45
0.222222,66,31
0,47,31
0.222222,69,31
0,42,31
0,68,56
0.222222,61,58
0,69,37
0,68,76
0,37,31
0,66,78
0,64,72
0,57,47
0,37,31
0.444444,61,66
0,38,31
0,73,70
0.222222,71,45
0.222222,66,31
0,40,31
0.222222,69,31
0,37,31
0,68,56
0.222222,61,58
0,69,37
0,68,76
0,37,31
0,66,78
0,64,72
0,57,47
0,37,31
0.444444,61,66
0,38,31
0,73,70
0.222222,71,45
0.222222,66,31
0,40,31
0.222222,69,31
0,42,31
0,68,56
0.222222,61,58
0,69,37
0,68,76
0,37,31
0,66,78
0,64,72
0,57,47
0,37,31
0.444444,61,66
