time,note,velocity
0,45,19
0,75,74
0.10204075,71,54
0,56,44
0,68,60
0,64,53
0,71,69
0,49,30
0,56,39
0,68,53
0.2040815,64,29
0.10204075,71,69
0.2040815,61,37
0,45,19
0,75,74
0.10204075,71,54
0,56,44
0,68,60
0,64,53
0,71,69
0,49,30
0,56,39
0,68,53
0.2040815,64,29
0.10204075,71,69
0.2040815,61,37
0,45,19
0,75,74
0.10204075,71,54
0,56,44
0,68,60
0,64,53
0,78,75
0,71,69
0,49,30
0,80,47
0,56,39
0,68,53
0,64,29
0.10204075,78,54
0,71,69
0.10204075,76,65
0,61,37
0,45,19
0,75,74
0.10204075,71,54
0,56,44
0,68,60
0,64,53
0,75,75
0,71,69
0,49,30
0,78,47
0,56,39
0,68,53
0,64,29
0.10204075,80,54
0,71,69
0.10204075,78,65
0,61,37
