time,note,velocity
0,66,52
0,49,19
0,37,19
0.21582749999999998,61,19
0,56,19
0,64,19
0,51,19
0,39,19
0.21582749999999998,59,19
0,68,52
0,63,19
0,64,35
0,52,33
0.053956874999999994,71,66
0,61,29
0.21582749999999998,52,33
0,33,19
0,75,52
0,49,19
0.21582749999999998,66,19
0,71,19
0,56,19
0,33,19
0,51,19
0.21582749999999998,68,52
0,59,19
0,63,19
0,64,35
0,52,33
0.053956874999999994,66,66
0,61,29
0.21582749999999998,52,33
0,66,52
0,49,19
0,37,19
0.21582749999999998,61,19
0,56,19
0,64,19
0,51,19
0,39,19
0.21582749999999998,59,19
0,68,52
0,63,19
0,64,35
0,52,33
0.053956874999999994,71,66
0,61,29
0.21582749999999998,52,33
0,75,52
0,33,19
0,49,19
0.21582749999999998,76,78
0,61,19
0,71,19
0,33,19
0,51,19
0.21582749999999998,68,52
0,59,19
0,63,19
0,64,35
0,52,33
0.053956874999999994,66,66
0,61,29
0.21582749999999998,52,33
0.43165499999999996,75,52
0.21582749999999998,71,78
