time,note,velocity
0,61,62
0,56,39
0,52,31
0,45,41
0.8053699999999999,59,12
0,66,47
0.12164442708333331,64,47
0,56,45
0,68,66
0.12164442708333331,61,62
0,44,41
0,54,39
0,51,31
0.8053699999999999,75,47
0,71,12
0.12164442708333331,59,45
0,66,47
0,71,66
0.12164442708333331,61,62
0,56,39
0,52,31
0,45,41
0.8053699999999999,59,12
0,66,47
0.12164442708333331,64,47
0,56,45
0,68,66
0.12164442708333331,75,45
0,61,62
0,44,41
0,54,39
0,51,31
0.12164442708333331,76,33
0.12164442708333331,75,47
0,71,12
0.02097317708333333,71,27
0.40268499999999996,68,50
0.12164442708333331,59,45
0,66,47
0,71,66
