time,note,velocity
0,43,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,77,78
0,43,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,74,78
0,72,31
0,45,39
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,76,78
0,38,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,76,78
0,72,31
0,38,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,74,78
0,72,31
0,45,39
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,76,78
0,43,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,77,78
0,43,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,74,78
0,72,31
0,45,39
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,76,78
0,38,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,76,78
0,72,31
0,38,29
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,74,78
0,72,31
0,45,39
0.20689649999999998,62,56
0.20689649999999998,69,78
0.20689649999999998,72,31
0,76,78
