time,note,velocity
0,44,14
0,67,56
0.222222,56,19
0.222222,63,19
0,60,19
0,44,35
0,46,14
0,70,56
0.222222,53,19
0.222222,65,19
0,60,19
0,46,35
0,36,14
0,62,52
0,55,19
0,63,47
0,62,54
0,60,19
0,36,35
0,36,14
0,62,45
0,53,19
0,63,66
0,62,37
0,60,19
0,36,35
0.222222,65,58
0,44,14
0,67,56
0.222222,56,19
0.222222,63,19
0,60,19
0,44,35
0,46,14
0,70,56
0.222222,53,19
0.222222,65,19
0,60,19
0,46,35
0,36,14
0,62,52
0,55,19
0,63,47
0,62,54
0,60,19
0,36,35
0,36,14
0,62,45
0,55,19
0,63,66
0,62,37
0,60,19
0,36,35
0.222222,65,58
