time,note,velocity
0,40,90
0.003980895833333334,50,88
0.003980895833333334,52,94
0.003980895833333334,55,100
0.003980895833333334,62,95
0,36,87
0.003980895833333334,43,97
0.003980895833333334,48,93
0.003980895833333334,52,96
0.003980895833333334,57,91
0,40,93
0.003980895833333334,43,92
0.003980895833333334,50,95
0.003980895833333334,52,88
0.003980895833333334,59,91
0,38,88
0.003980895833333334,45,99
0.003980895833333334,48,98
0.003980895833333334,52,95
0.003980895833333334,55,89
0,40,88
0.003980895833333334,50,91
0.003980895833333334,52,96
0.003980895833333334,55,88
0.003980895833333334,59,98
0.003980895833333334,62,89
0,36,95
0.003980895833333334,43,94
0.003980895833333334,48,94
0.003980895833333334,52,95
0.003980895833333334,57,96
0,40,98
0.003980895833333334,43,88
0.003980895833333334,50,98
0.003980895833333334,52,97
0.003980895833333334,59,98
0,38,92
0.003980895833333334,45,88
0.003980895833333334,48,100
0.003980895833333334,52,90
0.003980895833333334,55,93
0,57,83
0.21428549999999996,60,80
0.21428549999999996,64,90
0,57,99
0.21428549999999996,60,91
0.21428549999999996,64,78
0,57,95
0,74,79
0.21428549999999996,60,88
0,64,93
0,57,86
0,77,78
0.21428549999999996,60,88
0,76,87
0,52,92
0.21428549999999996,60,79
0.21428549999999996,64,85
0,52,80
0.21428549999999996,60,98
0.21428549999999996,64,96
0,76,79
0,52,92
0.21428549999999996,60,82
0.21428549999999996,64,79
0,52,85
0,77,78
0.21428549999999996,60,94
0,76,79
0,53,97
0,74,78
0.21428549999999996,60,82
0,64,91
0,53,90
0.21428549999999996,60,90
0.21428549999999996,64,92
0,53,93
0,79,79
0.21428549999999996,60,96
0,64,79
0,53,97
0,74,79
0.21428549999999996,60,96
0,76,97
0,50,86
0,72,78
0.21428549999999996,60,79
0,64,100
0,50,83
0.21428549999999996,60,89
0.21428549999999996,64,89
0,72,78
0,50,94
0.21428549999999996,60,90
0.21428549999999996,64,78
0,71,78
0,50,85
0,74,78
0.21428549999999996,60,100
0,72,78
0,48,94
0.005208333333333333,60,96
0.005208333333333333,63,97
0.005208333333333333,67,99
0.005208333333333333,70,100
0.9791666666666666,75,100
0,67,99
0.005208333333333333,72,100
0,43,94
0.005208333333333333,55,96
0.005208333333333333,58,97
0.005208333333333333,62,99
0.005208333333333333,65,100
0.9791666666666666,79,100
0,77,100
0,44,93
0.005208333333333333,56,94
0.005208333333333333,60,96
0.005208333333333333,63,97
0.005208333333333333,67,99
0.005208333333333333,75,100
1.0,65,100
0,41,94
0.005208333333333333,53,96
0.005208333333333333,56,97
0.005208333333333333,60,99
0.005208333333333333,63,100
0,63,100
0,62,97
0.026041666666666664,63,100
0,60,100
0,59,89
0.031249968749999996,66,90
0.031249968749999996,71,92
0.031249968749999996,74,93
0.031249968749999996,78,95
0.026785687499999995,81,96
0,57,89
0.031249968749999996,64,90
0.031249968749999996,69,92
0.031249968749999996,73,93
0.031249968749999996,76,95
0.026785687499999995,80,96
0,61,89
0.031249968749999996,68,90
0.031249968749999996,73,92
0.031249968749999996,76,93
0.031249968749999996,80,95
0.026785687499999995,83,96
0,62,89
0.031249968749999996,69,90
0.031249968749999996,74,92
0.031249968749999996,78,93
0.031249968749999996,81,95
0.026785687499999995,85,96
0,59,89
0.031249968749999996,66,90
0.031249968749999996,71,92
0.031249968749999996,74,93
0.031249968749999996,78,95
0.026785687499999995,81,96
0,57,89
0.031249968749999996,64,90
0.031249968749999996,69,92
0.031249968749999996,73,93
0.031249968749999996,76,95
0.026785687499999995,80,96
0,54,89
0.031249968749999996,61,90
0.031249968749999996,66,92
0.031249968749999996,69,93
0.031249968749999996,73,95
0.026785687499999995,76,96
0,52,95
0,59,89
0.031249968749999996,66,90
0.031249968749999996,71,92
0.031249968749999996,74,93
0.031249968749999996,78,95
0,52,96
0,47,96
0,55,98
0,62,100
1.153846,69,98
0.576923,59,95
0.14423075,60,99
0,47,97
0,51,98
0,42,97
0,57,97
0,71,97
0,47,98
0,51,95
0,42,97
0,57,96
0,72,99
0.2884615,59,99
0,72,98
0,74,96
0.2884615,60,95
0,59,97
0,43,99
0,52,95
0,48,99
1.153846,76,96
0.576923,59,98
0.14423075,57,98
0,45,98
0,48,98
0,40,98
0,55,99
0,74,95
0.43269225,72,99
0,57,99
0,42,99
0,51,97
0,47,95
0,71,100
0.2884615,59,96
0,72,97
0,71,97
0.2884615,60,99
0,52,98
0,47,95
0,55,97
0,62,100
1.153846,69,95
0.576923,59,98
0.14423075,60,95
0,47,97
0,51,95
0,42,98
0,57,97
0,71,96
0,47,95
0,51,95
0,42,97
0,57,99
0,72,97
0.2884615,59,99
0,72,97
0,71,97
0.2884615,60,99
0,59,97
0,43,99
0,52,98
0,48,97
1.153846,67,98
0.576923,59,98
0.14423075,57,96
0,45,96
0,48,96
0,40,98
0,55,95
0,74,98
0.43269225,72,96
0,57,99
0,42,100
0,51,95
0,47,99
0,71,98
0.2884615,59,99
0,72,98
0,71,100
0.2884615,60,96
0,42,93
0.013392843749999998,54,94
0.013392843749999998,56,96
0.008928562499999999,58,97
0.013392843749999998,61,99
0.013392843749999998,65,100
0.7946420624999999,70,100
0,37,94
0.013392843749999998,49,96
0.013392843749999998,56,97
0.008928562499999999,59,99
0.013392843749999998,64,100
0,71,100
0.4285709999999999,70,100
0,39,94
0.013392843749999998,51,96
0.013392843749999998,58,97
0.008928562499999999,61,99
0.013392843749999998,66,100
0,35,94
0.013392843749999998,54,96
0.013392843749999998,58,97
0.008928562499999999,59,99
0.013392843749999998,63,100
0.80803490625,68,100
0,66,100
0,42,93
0.013392843749999998,54,94
0.013392843749999998,56,96
0.008928562499999999,58,97
0.013392843749999998,61,99
0.013392843749999998,65,100
0.7946420624999999,70,100
0,37,94
0.013392843749999998,49,96
0.013392843749999998,56,97
0.008928562499999999,59,99
0.013392843749999998,64,100
0,71,100
0.4285709999999999,70,100
0,39,94
0.013392843749999998,51,96
0.013392843749999998,58,97
0.008928562499999999,61,99
0.013392843749999998,66,100
0,35,94
0.013392843749999998,54,96
0.013392843749999998,58,97
0.008928562499999999,59,99
0.013392843749999998,63,100
0.80803490625,68,100
0,66,100
0,45,87
0.0078125,52,81
0.00390625,64,84
0,60,99
0,45,92
0.0078125,52,79
0.00390625,64,92
0,60,88
0,60,93
0,59,87
0,41,90
0.0078125,48,87
0.00390625,57,88
0,45,79
0.0078125,52,85
0.00390625,64,81
0,60,98
0,45,80
0.0078125,52,92
0.00390625,64,96
0,60,81
0,60,86
0,59,94
0,41,80
0.0078125,48,80
0.00390625,57,97
0,45,88
0.0078125,52,88
0.00390625,64,90
0.0078125,76,90
0,72,93
0,45,92
0.0078125,52,95
0.00390625,64,95
0.0078125,76,80
0,72,98
0,72,87
0,71,80
0,41,87
0.0078125,48,87
0,60,99
0.00390625,69,84
0,45,76
0.0078125,52,88
0.00390625,64,89
0.0078125,76,95
0,72,86
0,45,76
0.0078125,52,90
0.00390625,64,99
0.0078125,76,81
0,72,89
0,72,80
0,71,91
0,41,78
0.0078125,48,80
0,60,87
0.00390625,69,85
0,57,94
0,42,94
0,50,94
0,69,94
0,42,94
0,50,94
0,62,94
0,61,94
0,52,94
0,44,94
0.794702,74,94
0,61,94
0,52,94
0,44,94
0.1986755,76,94
0,44,94
0,49,94
0,56,94
0,50,94
0,42,94
0,57,94
0,50,94
0,42,94
0,69,94
0,62,94
0,61,94
0,52,94
0,44,94
0.794702,74,94
0,44,94
0,52,94
0,61,94
0.1986755,76,94
0,44,94
0,49,94
0,56,94
0,57,94
0,42,94
0,50,94
0,69,94
0,42,94
0,50,94
0,62,94
0,61,94
0,52,94
0,44,94
0,61,94
0,52,94
0,44,94
0,44,94
0,49,94
0,56,94
0,50,94
0,42,94
0,57,94
0,50,94
0,42,94
0,69,94
0,62,94
0,61,94
0,52,94
0,44,94
0,44,94
0,52,94
0,61,94
0,44,94
0,49,94
0,56,94
0,53,83
0.011160708333333333,60,73
0.005580354166666667,65,96
0.011160708333333333,68,87
0.005580354166666667,75,79
1.037945875,73,74
0.535714,72,94
0,48,79
0.011160708333333333,55,87
0.005580354166666667,60,82
0.011160708333333333,64,82
0.005580354166666667,70,85
1.037945875,68,91
0.535714,72,75
0,46,77
0.011160708333333333,53,93
0.005580354166666667,58,74
0.011160708333333333,61,94
0.005580354166666667,68,91
1.573659875,72,78
0,46,70
0.011160708333333333,53,72
0.005580354166666667,58,79
0.011160708333333333,61,91
0.005580354166666667,68,97
1.573659875,72,78
0,53,83
0.011160708333333333,60,73
0.005580354166666667,65,96
0.011160708333333333,68,87
0.005580354166666667,75,79
1.573659875,72,94
0,48,79
0.011160708333333333,55,87
0.005580354166666667,60,82
0.011160708333333333,64,82
0.005580354166666667,70,85
1.573659875,72,75
0,46,77
0.011160708333333333,53,93
0.005580354166666667,58,74
0.011160708333333333,61,94
0.005580354166666667,68,91
1.573659875,72,78
0,46,70
0.011160708333333333,53,72
0.005580354166666667,58,79
0.011160708333333333,61,91
0.005580354166666667,68,97
1.573659875,72,78
0,52,95
0.012499999999999999,68,96
0.012499999999999999,75,98
0.012499999999999999,83,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,52,95
0.012499999999999999,71,96
0.012499999999999999,75,98
0.012499999999999999,80,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,49,95
0.012499999999999999,68,96
0.012499999999999999,69,98
0.012499999999999999,76,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,64,98
0.012499999999999999,68,99
0,45,95
0.012499999999999999,64,96
0.012499999999999999,68,98
0.012499999999999999,73,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,68,98
0.012499999999999999,76,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,87,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,52,95
0.012499999999999999,71,96
0.012499999999999999,75,98
0.012499999999999999,80,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,49,95
0.012499999999999999,68,96
0.012499999999999999,69,98
0.012499999999999999,76,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,64,98
0.012499999999999999,68,99
0,45,95
0.012499999999999999,64,96
0.012499999999999999,68,98
0.012499999999999999,73,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,68,98
0.012499999999999999,76,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,75,98
0.012499999999999999,83,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,52,95
0.012499999999999999,71,96
0.012499999999999999,75,98
0.012499999999999999,80,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,49,95
0.012499999999999999,68,96
0.012499999999999999,69,98
0.012499999999999999,76,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,64,98
0.012499999999999999,68,99
0,45,95
0.012499999999999999,64,96
0.012499999999999999,68,98
0.012499999999999999,73,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,68,98
0.012499999999999999,76,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,87,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,52,95
0.012499999999999999,71,96
0.012499999999999999,75,98
0.012499999999999999,80,99
0,52,95
0.012499999999999999,68,96
0.012499999999999999,71,98
0.012499999999999999,75,99
0,49,95
0.012499999999999999,68,96
0.012499999999999999,69,98
0.012499999999999999,76,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,64,98
0.012499999999999999,68,99
0,45,95
0.012499999999999999,64,96
0.012499999999999999,68,98
0.012499999999999999,73,99
0,45,95
0.012499999999999999,61,96
0.012499999999999999,68,98
0.012499999999999999,76,99
0,78,101
0,28,96
0.0037650624999999997,59,99
0.0037650624999999997,40,96
0.015060249999999999,68,101
0.0263554375,80,99
0.0075301249999999995,49,96
0.2221386875,75,101
0,33,96
0,73,101
0.0037650624999999997,64,99
0.0037650624999999997,45,96
0.0263554375,78,99
0.0075301249999999995,54,96
1.3893080624999998,73,101
0,32,96
0.0037650624999999997,63,99
0.0037650624999999997,78,101
0,44,96
0.0188253125,71,101
0.022590375,80,99
0,52,96
0.30497006249999997,75,101
0,70,101
0,30,96
0.0037650624999999997,61,99
0.0037650624999999997,42,96
0.022590375,75,99
0.0075301249999999995,51,96
1.3893080624999998,73,99
0,53,93
0.0078125,58,95
0.0078125,62,96
0.00390625,67,98
0.0078125,81,99
0,52,96
0.0078125,57,98
0.0078125,60,99
0,50,95
0.0078125,55,96
0.0078125,58,98
0.00390625,79,99
0,48,93
0.0078125,53,95
0.0078125,57,96
0.00390625,65,98
0.0078125,74,99
0,53,93
0.0078125,58,95
0.0078125,62,96
0.00390625,67,98
0.0078125,69,99
0,52,96
0.0078125,57,98
0.0078125,60,99
0,50,95
0.0078125,55,96
0.0078125,58,98
0.00390625,67,99
0,48,93
0.0078125,53,95
0.0078125,57,96
0.00390625,74,98
0.0078125,65,99
0,50,99
0.0037650624999999997,77,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0.7191269374999999,60,100
0,69,100
0,46,99
0.0037650624999999997,81,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0,60,100
0,69,100
0,50,99
0.0037650624999999997,79,100
0.35768093749999996,65,100
0,74,100
0,58,99
0.0037650624999999997,72,100
0,60,100
0,69,100
0,46,99
0.0037650624999999997,77,100
0.35768093749999996,65,100
0.180723,76,100
0,74,100
0,57,99
0.0037650624999999997,72,100
0,60,99
0.0037650624999999997,70,99
0,72,100
0,69,100
0,83,82
0,73,80
0,69,88
0,66,96
0,62,89
0,59,78
0,47,93
0,69,86
0,66,91
0,62,85
0,59,86
0,47,86
0,81,90
0,66,79
0,62,84
0,59,80
0,47,95
0,76,93
0,67,90
0,62,81
0,59,79
0,55,84
0,43,91
0,78,79
0,66,95
0,59,81
0,62,89
0,55,88
0,43,89
0,81,90
0,71,91
0,67,94
0,64,79
0,61,95
0,57,93
0,45,95
0,67,85
0,64,79
0,61,97
0,57,82
0,45,87
0,79,87
0,64,92
0,61,88
0,57,78
0,45,84
0,86,97
0,66,79
0,61,91
0,57,78
0,54,87
0,42,78
0,85,88
0,64,86
0,54,83
0,57,79
0,61,79
0,42,86
0,83,93
0,73,87
0,69,94
0,66,86
0,62,84
0,59,92
0,47,87
0,69,92
0,66,91
0,62,84
0,59,88
0,47,89
0,81,81
0,66,82
0,62,81
0,59,90
0,47,79
0,76,91
0,67,83
0,62,92
0,59,97
0,55,79
0,43,95
0,78,90
0,66,94
0,59,91
0,62,97
0,55,82
0,43,92
0,81,85
0,71,92
0,67,84
0,64,87
0,61,92
0,57,81
0,45,94
0,67,78
0,64,92
0,61,84
0,57,94
0,45,91
0,79,93
0,64,82
0,61,79
0,57,96
0,45,82
0,74,87
0,66,95
0,61,79
0,57,84
0,54,93
0,42,94
0,73,90
0,64,85
0,54,93
0,57,82
0,61,93
0,42,85
0,48,95
0,60,95
0.0119426875,67,96
0.015923583333333335,70,98
0.0119426875,75,99
0,43,95
0,55,95
0.0119426875,62,96
0.015923583333333335,65,98
0.0119426875,70,99
0,70,99
0,44,95
0,56,95
